epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.567,1.89378,3.4339,2.04054,0.57395,0.40725,0.49251,0.2012,1.57314,3.08342,1.6415,0.000325,0.000325,0.000325
2,228.119,1.35818,2.15414,1.44828,0.50369,0.83649,0.66316,0.40129,1.31359,2.1313,1.28936,0.000593158,0.000593158,0.000593158
3,349.09,1.17407,1.66324,1.28845,0.51006,0.70939,0.58252,0.30421,1.56838,2.33561,1.4853,0.000795317,0.000795317,0.000795317
4,472.404,1.08809,1.44362,1.21806,0.72454,0.76627,0.83333,0.54605,1.15587,1.67832,1.25318,0.000703,0.000703,0.000703
5,594.89,0.98584,1.26178,1.14266,0.69401,0.86491,0.84752,0.58356,1.05171,1.3969,1.13688,0.000604,0.000604,0.000604
6,730.623,0.95989,1.13359,1.11655,0.77623,0.87803,0.8901,0.62335,1.04633,1.20946,1.13447,0.000505,0.000505,0.000505
7,864.402,0.8747,0.99774,1.06213,0.83455,0.78934,0.8674,0.60488,1.08959,1.20978,1.1295,0.000406,0.000406,0.000406
8,997.628,0.87184,0.95563,1.05039,0.9008,0.85386,0.92011,0.63203,1.0831,1.12782,1.1348,0.000307,0.000307,0.000307
9,1130.46,0.82738,0.89224,1.03258,0.86797,0.89359,0.9228,0.66505,0.97203,1.03605,1.08979,0.000208,0.000208,0.000208
10,1258.68,0.8179,0.84917,1.01909,0.88614,0.87585,0.92049,0.64433,1.00243,1.04371,1.09644,0.000109,0.000109,0.000109
