epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2001,1.55389,3.12949,1.58634,1,0.04152,0.47326,0.22111,1.09574,3.23553,1.18712,0.000325,0.000325,0.000325
2,137.163,1.14133,1.70163,1.25591,0.56871,0.60701,0.68651,0.43301,1.17435,2.26704,1.20402,0.000593158,0.000593158,0.000593158
3,212.784,1.10226,1.39267,1.18732,0.69665,0.7367,0.81299,0.54226,1.08144,1.73139,1.16502,0.000795317,0.000795317,0.000795317
4,284.392,1.03477,1.20452,1.15086,0.69304,0.83048,0.85121,0.58197,1.05156,1.45808,1.17466,0.000703,0.000703,0.000703
5,355.829,0.97715,1.04866,1.10201,0.82738,0.70588,0.82767,0.58249,1.04963,1.52694,1.21807,0.000604,0.000604,0.000604
6,427.814,0.92501,0.98979,1.10374,0.85732,0.78703,0.87137,0.61642,1.0255,1.25548,1.20991,0.000505,0.000505,0.000505
7,500.467,0.8712,0.86198,1.07252,0.90641,0.82852,0.89382,0.63708,1.00259,1.10045,1.20023,0.000406,0.000406,0.000406
8,571.759,0.81107,0.79649,1.0243,0.89814,0.80541,0.90032,0.64522,0.98983,1.04969,1.1651,0.000307,0.000307,0.000307
9,642.867,0.78582,0.74938,1.0162,0.88624,0.81906,0.93184,0.66265,0.97727,1.05025,1.15705,0.000208,0.000208,0.000208
10,714.809,0.7427,0.71493,0.99595,0.88164,0.82724,0.91864,0.66717,0.96182,1.04975,1.13548,0.000109,0.000109,0.000109
